state_ut,total_households_surveyed,total_women_interviewed,avg_school_ever (%),avg_literacy (%),avg_schooling_10plus (%),avg_child_marriage (%),avg_clean_fuel (%),avg_clean_water (%),avg_sanitation (%),avg_menstrual_hygiene (%),avg_bmi_low (%),avg_bmi_high (%),avg_anaemia_all (%),avg_anaemia_teen (%),avg_sugar_high (%),avg_sugar_veryhigh (%),avg_bp_mild (%),avg_bp_severe,avg_breast_cancer_screening (%),avg_oral_cancer_screening (%),avg_tobacco (%),avg_alcohol (%),avg_education_gap (%),Avg_health_insurance(%)
 Lakshadweep,921,1234,93,96.5,67.8,1.3,59.4,92.9,99.8,98.3,8,33.5,25.8,31.4,8.4,9.9,13.9,6.5,0.5,0.3,17.5,0.3,25.2,60.1
Andaman & Nicobar Islands,2624,2397,81.8,86.07,50.67,14.63,70.03,96.3,86.4,99.4,8.93,38,52.7,46.33,7.37,6.6,18.1,5.8,4.73,9.73,43.3,12.13,31.13,2
Andhra Pradesh,11346,10975,64.67,67.65,39.45,29.41,82.87,96.35,76.7,84.92,15.12,35.47,59.02,60.48,7.28,10.18,13.53,5.92,0.72,7.02,4.18,0.49,25.22,70.83
Arunachal Pradesh,18268,19765,69.74,73.1,38.9,18.21,52.28,94.28,84.54,91.47,4.81,24.04,38.85,46.7,4.4,3.33,16.49,6.89,0.37,0.55,18.17,23.87,30.84,28.3
Assam,30119,34979,77.83,77.4,30.22,30.51,39.93,85.43,70.11,68.59,17.15,15.04,65.75,67.15,6.67,4.53,11.21,5.02,0.19,0.21,22.32,9.59,47.61,61.01
Bihar,35834,42483,60.78,57.64,28.58,41.07,36.37,99.01,49.47,58.97,25.88,15.26,64.68,66.59,6.43,5.24,8.56,3.56,0.3,0.27,4.79,0.45,32.19,14.1
Chandigarh,761,746,86.7,83,59.6,9.7,95.8,99.1,85,9,13,44,60.3,57.7,6,12,14.5,5.6,0,0.4,0.6,0.3,27.1,32.2
Chhattisgarh,24550,28468,65.69,70.11,34,13.65,28.28,94.79,72.81,65.87,24.99,12.35,63.01,62.69,4.63,3.57,14.7,6.54,0.21,0.27,21.01,8.72,31.69,73.19
Dadra and Nagar Haveli & Daman and Diu,2676,2713,77.47,83.17,42.37,18.37,83.9,96.83,73.3,90.53,21.9,30.17,58.5,63.1,6.5,6.67,8.7,3.87,0.17,0.27,2.43,0.8,35.1,51.9
Goa,1856,2030,88.85,93.1,71.45,5.7,96.45,98.55,87.95,96.75,13.8,35.9,38.8,44.35,8.65,9.45,12.3,3.55,1.15,0.5,2.6,5.7,17.4,66.25
Gujarat,29368,33343,70.55,74.75,31.09,22.18,59.85,96.84,71.73,64.85,26.01,20.99,64.57,68.28,7.84,6.32,11.71,4.69,0.17,0.22,9.77,0.69,39.46,40.63
Haryana,18229,21909,73.53,81.4,49.63,12.28,57.83,98.6,85.03,93.34,15.16,32.84,60.68,63.09,5.39,5.8,12.46,5.49,0.29,0.33,2.54,0.27,23.9,25.09
Himachal Pradesh,10698,10368,78.67,90.25,62.81,8.24,53.65,95.02,80.91,92.03,13.53,29.8,54.17,55.48,5.89,5.77,11.45,4.68,0.39,0.37,1.83,0.68,15.86,32.8
Jammu & Kashmir,18086,23037,68.52,75.05,48.25,4.8,63.29,90.36,73.75,71.89,5.19,28.19,66.93,77.24,4.16,2.87,11.67,2.97,0.27,0.65,4.01,0.23,20.28,11.26
Jharkhand,22863,26495,63.52,63.27,30.85,32.35,28.04,84.73,55.31,74.8,26.93,10.6,66.28,66.43,5.54,4.07,10.65,4.98,0.1,0.19,9.1,7.49,32.67,51.8
Karnataka,26574,30455,71.61,75.83,47.85,20.51,76.09,94.94,74.6,84.83,17.74,29.39,48.21,48.94,5.54,6.62,14.34,6.56,0.32,0.43,9.68,0.99,23.76,29.17
Kerala,12330,10969,95.03,97.88,76.89,5.46,70.21,94.24,98.6,93.25,10.47,37.57,35.73,31.39,8.29,12.94,15.61,7.09,2.44,0.69,2.71,0.31,18.14,52.56
Ladakh,1818,2355,67.95,76.8,50.05,2.5,75.8,88.65,42.35,78.7,4.4,28.25,92.75,96.95,3.9,1.75,10.35,1.7,0.2,0.2,3.15,3.75,17.9,14.9
Madhya Pradesh,43552,48410,66.35,67.59,27.85,23.49,37.57,88.25,64.17,59.55,23.5,16.03,55.18,58.49,5.41,3.92,13.3,5.19,0.39,0.58,10.56,1.14,38.5,38.54
Maharastra,31643,33755,77.43,82.8,46.94,21.71,73.49,91.77,71.65,82.41,21.71,20.45,54.7,56.65,5.7,4.97,13.41,5.08,0.91,0.89,11.95,0.56,30.49,21.01
Manipur,7881,8042,82.24,85.14,44.83,16.47,59.03,69.72,71.36,81.76,6.71,30.52,28.73,28.17,5.8,5.73,13.13,6.04,1,0.59,42.28,1.09,37.41,14.96
Meghalaya,10148,13089,85.03,85.95,31.77,17.71,26.65,73.49,83.38,62.62,11,10.65,54.95,54.66,5.49,2.75,9.57,3.58,0.2,0.35,27.87,1.57,53.25,68.29
Mizoram,7213,7146,89.89,91.33,44.39,11.88,75.7,91.75,94.15,88.29,5.31,24.1,34.1,35.39,6.89,5.64,9.99,3.79,1.63,0.61,62.63,0.91,45.5,47.24
Nagaland,10112,9694,83.77,84.51,39.7,7.37,33.49,89.91,88.2,78.32,11.03,12.92,29.21,35.15,5.21,3.76,14.28,7.51,0.37,0.37,12.45,0.84,44.07,21.1
NCT of Delhi,9486,11159,83.89,85.15,59.91,9.61,98.91,99.43,81.09,97.05,10.11,41.41,49.5,51.52,4.19,6.23,14.77,5.93,0.35,0.86,2.32,0.45,23.98,25.24
Odisha,26467,27971,70.22,70.3,31.91,20.38,32.34,90.27,59.65,80.63,21.86,21.19,64.3,65.4,6.45,6.29,12.99,5.52,0.19,0.23,25.42,4.33,38.31,48.33
Puducherry,3520,3669,87.55,91.08,66.5,7.9,91.43,99.48,88.2,97.7,8.88,42.05,48.18,51.23,8.8,11.13,15.03,6.2,2.45,1.48,2.25,0.28,21.05,27.75
Punjab,18824,21771,76.33,80.95,55.08,8.82,74.73,98.53,86.5,93.16,12.95,40.26,58.77,60.62,5.82,8.04,18.17,8.59,0.28,0.37,0.36,0.33,21.25,24.99
Rajasthan,31817,42990,62.4,64.6,31.33,26.48,38.31,95.82,68.58,81.77,20.17,11.99,55.43,60.03,3.85,2.71,9.77,3.23,0.15,0.18,7.39,0.36,31.07,88.44
Sikkim,3516,3271,81.73,86.93,45.13,12.35,72.45,92.88,87.35,84.45,4.68,35.4,40.63,47.63,6,4.48,20.08,12.2,0.23,0.48,11.45,18.18,36.6,23.78
Tamil Nadu,27929,25650,79.52,85.69,56.03,12.87,79.5,98.38,71.57,98.2,13.06,39.36,53.92,51.77,7.58,11.06,14.28,6.15,5.56,1.14,5.35,0.35,23.49,67.9
Telangana,27351,27518,58.19,64.09,43.1,24.3,90.37,98.45,74.61,91.24,20.05,27.21,58.45,64.75,5.75,6.72,13.55,6.29,0.4,2.27,6.32,7.4,15.09,62.29
Tripura,7209,7314,81.1,79.36,21.53,39.68,40.71,85.23,71.61,66.79,17.21,20.16,67.05,68.09,8.86,7.69,10.69,4.73,0.26,0.54,51.23,6.65,59.58,33.99
Uttar Pradesh,70710,93124,66.99,68.24,38.22,16.81,47.08,99.06,68.98,71.96,19.09,20.83,50.45,52.83,4.62,4.33,11.51,4.88,0.37,0.59,8.7,0.31,28.76,15.9
Uttarakhand,12169,13280,74.48,83.96,52.45,9.02,48.48,93.47,82.3,92.05,13.45,25.23,40.17,40.72,4.2,4.69,13.6,5.8,0.15,0.27,4.45,0.33,22.02,67.08
West Bengal,17272,20320,76.13,74.93,33.01,39.37,39.67,96.81,67.28,82.97,16.02,21.53,71.53,70.59,8.89,7.22,11.58,5.33,0.19,0.17,12.22,1.38,43.12,28.88
