district,state_ut,households_surveyed,women_interviewed,school_ever, sex_ratio,literacy,schooling_10plus,child_marriage,clean_fuel,clean_water,sanitation,health_insurance,menstrual_hygiene,bmi_low,bmi_high,anaemia_all,anaemia_teen,sugar_high,sugar_veryhigh,bp_mild,bp_severe,breast_cancer_screening,oral_cancer_screening,tobacco,alcohol,education_gap
Nicobars,Andaman & Nicobar Islands,882,764,78,973,87.5,53.5,11.4,56.9,98.8,83.5,2.7,100,8.2,39.1,38.3,48,7.4,3.9,23.2,8.5,13.2,5.4,63.5,29.6,24.5
North & Middle Andaman ,Andaman & Nicobar Islands,874,789,82.7,950,84,41,15.4,61.3,92.2,86.4,2.1,100,8.6,35.9,62.1,47.8,7.2,6.4,18.4,4,0.3,15.8,46.8,5.1,41.7
South Andaman ,Andaman & Nicobar Islands,868,844,84.7,967,86.7,57.5,17.1,91.9,97.9,89.3,1.2,98.2,10,39,57.7,43.2,7.5,9.5,12.7,4.9,0.7,8,19.6,1.7,27.2
Srikakulam ,Andhra Pradesh,874,780,60,1140,64.3,42.5,25.4,74.7,87.7,71.6,75.6,78,13.8,27.2,62.6,59.2,8.2,7.8,12.8,5.9,0.2,3.8,7.1,0.6,17.5
Vizianagaram ,Andhra Pradesh,902,853,56,1114,58.3,37.6,33.7,60.3,93.1,61.7,76.7,72.5,16.9,28.8,64,73.9,6.2,7,12.9,6.6,0.6,7.3,11.4,0.8,18.4
Visakhapatnam ,Andhra Pradesh,869,818,66.8,1066,69.5,46,25.4,72.9,91.8,77.8,64.9,85.7,17.4,23.8,58,58.9,6.1,8.6,12.1,5.9,0.7,4.1,6.3,1.3,20.8
East Godavari ,Andhra Pradesh,888,824,75.4,995,77.9,43.2,26,80.3,97.9,77.7,66.4,71,10.2,44.4,63,65.2,7.5,12.7,13,6.6,1,4.8,3.2,0.7,32.2
West Godavari ,Andhra Pradesh,884,841,75.4,999,77,46.5,22.1,86.8,99.1,80.8,67.6,84.4,10.1,45.3,63,66.8,7.3,13.1,14.7,6.1,1.8,13.1,2.2,0.2,28.9
Krishna ,Andhra Pradesh,865,820,74,1064,76.9,46.2,25.3,89.8,94.4,79.1,68.1,92.6,10.5,40.6,60.3,59,7.9,13.4,13.4,4.3,2.1,12.3,1.4,0.4,27.8
Guntur ,Andhra Pradesh,851,807,64.9,1055,68.5,32.6,35.4,91.7,99.3,83.4,71.1,88,9.6,46.4,59.5,54.6,7.8,13,14.7,5.9,0.2,14.6,1.6,0.2,32.3
Prakasam ,Andhra Pradesh,821,689,58.1,1011,62.8,34.5,37.3,90.8,98.6,78.4,67.6,86.6,14.4,39.5,60.4,64.8,7.9,12.6,14.6,6.4,0.2,10,2.2,0.3,23.6
Sri Potti Sriramulu Nello ,Andhra Pradesh,865,922,67.9,1049,70.5,38.7,23.8,84.6,95.6,81.8,72.3,84,15.2,39.5,59.4,68.6,8.2,12.3,12.7,4.5,0.8,6.7,4.4,0.3,29.2
Y.S.R. ,Andhra Pradesh,910,1017,61.9,1058,63.8,40,25.6,94.3,99.9,85.4,73.3,92.5,15.9,33.9,56.1,60.2,8.4,8.7,13.6,5.7,0.9,3.6,3.1,0.2,21.9
Kurnool ,Andhra Pradesh,870,908,55.2,1045,57,33.4,36.9,78.1,97.9,73.5,73.3,78.9,20.6,29,58.6,61.1,6.9,6.9,18.3,5.1,0.2,2.9,2.1,0.4,21.8
Anantapur ,Andhra Pradesh,882,868,59.5,1047,63.6,31.3,37.3,86.4,98.8,71.3,73.2,95,21.9,29.3,50.5,50,5.4,7.8,12.4,8.5,0.4,4,5,0.6,28.2
Chittoor ,Andhra Pradesh,865,828,65.6,1024,69.3,40.3,28.1,86.6,98.5,74.6,70.7,94.7,20.1,33.4,51.8,43.9,6.9,8.4,10.7,5.4,0.3,4,4.3,0.4,25.3
Tawang ,Arunachal Pradesh,905,924,59.3,1063,59.1,39.2,11.9,88.1,99.8,81.7,33.5,88.4,1.2,35.4,59.1,76.3,3.1,0.7,17.4,11.7,0.8,0.7,5.1,23.4,20.1
West Kameng ,Arunachal Pradesh,959,1122,73,971,73.7,43.6,12.5,88.9,99.8,88.9,38.3,90.3,1.9,25.7,37.4,50.9,3.6,0.7,12.4,4.3,0.5,0.2,13.9,19.5,29.4
East Kameng ,Arunachal Pradesh,940,1002,63.1,985,62.2,31.8,26.5,49.5,93.6,75.6,25.1,85.4,4.8,19.6,26.2,39.5,4.3,4,14.1,4.4,0.2,0.7,24.9,27.4,31.3
Papum Pare ,Arunachal Pradesh,950,1017,77.6,1039,78.2,50.5,25.4,81.3,92.9,75.7,26.9,95.4,5.3,31.1,38.4,44.4,4.8,3,13.6,3.5,1.2,2,16.1,16.1,27.1
Upper Subansiri ,Arunachal Pradesh,988,1092,61.4,1052,64.3,31.8,26.7,32.8,94.7,80.9,21.5,92.7,2.8,25,36.7,39.2,3.6,2.2,17.7,5.9,0.1,0.3,19.8,42.8,29.6
Upper Siang ,Arunachal Pradesh,935,901,69.5,894,74.4,34.8,17.1,36.3,99.8,91.8,34.6,91.5,2.4,27.3,29.2,27.2,4,2.9,16,9.3,0.4,0.4,21.3,22,34.7
Changlang ,Arunachal Pradesh,981,1168,74.6,963,77.6,30.5,16.8,34.1,81.8,82.3,40.5,89.1,10.5,17.1,57.2,67.1,5.6,3.1,13.8,6.7,0,0,21.9,30,44.1
Lower Subansiri ,Arunachal Pradesh,986,1094,73.1,1016,76.8,49.9,16,60.8,98.1,82.8,24.5,92.4,4.3,23.2,40.5,59.4,4.9,3.6,17.1,7.6,0.7,0.8,18,16.8,23.2
Dibang Valley ,Arunachal Pradesh,925,868,67.6,983,77.8,43.2,20.7,49.3,100,95,28.7,88.6,3.8,21.7,62.9,67.7,3.5,5.2,20.6,10.6,0.4,0.8,20.3,27.9,24.4
Lower Dibang Valley ,Arunachal Pradesh,968,1090,76.8,1010,81.6,51.9,13.8,57.4,99.5,89.9,36.8,96,4.1,16.8,34.6,39.4,4.6,4.1,16.7,8.1,0.2,0.2,20.6,20.3,24.9
Anjaw ,Arunachal Pradesh,932,828,61.5,939,67.9,28.8,21.8,29,86.6,86.8,17.5,89,2.4,22.8,35.9,42.2,4,8.7,21.8,7.6,0.6,0.2,22.1,31.6,32.7
East Siang ,Arunachal Pradesh,976,1157,76.8,1059,83.8,55.6,14.9,52.4,97.3,83.9,30.5,87.8,6.8,27.9,35.2,40.4,5.6,3.4,18,8.5,0.2,0.8,24.7,18.8,21.2
